t,x1,y1,x2,y2,sep
365128.3528352835,0.0076007600760076,-40964333730874.78,-1957821678836.5513,20482166865437.39,978910839418.2756,61516638671308.8
369932.6732673267,0.007700770077007701,-40963095384636.67,-1983562514710.742,20481547692318.336,991781257355.371,61516638671308.81
374736.99369936995,0.007800780078007801,-40961840863582.43,-2009302567349.2256,20480920431791.215,1004651283674.6128,61516638671308.81
379541.3141314131,0.0079007900790079,-40960570168207.43,-2035041826588.2056,20480285084103.715,1017520913294.1028,61516638671308.81
384345.63456345635,0.008000800080008,-40959283299013.41,-2060780282264.1968,20479641649506.703,1030390141132.0984,61516638671308.83
389149.9549954995,0.0081008100810081,-40957980256508.516,-2086517924214.0312,20478990128254.258,1043258962107.0156,61516638671308.81
393954.27542754274,0.0082008200820082,-40956661041207.266,-2112254742274.864,20478330520603.633,1056127371137.432,61516638671308.81
398758.59585958597,0.0083008300830083,-40955325653630.57,-2137990726284.1746,20477662826815.285,1068995363142.0873,61516638671308.81
403562.91629162914,0.0084008400840084,-40953974094305.734,-2163725866079.7715,20476987047152.867,1081862933039.8857,61516638671308.83
408367.23672367237,0.008500850085008503,-40952606363766.42,-2189460151499.7961,20476303181883.21,1094730075749.8981,61516638671308.81
413171.55715571553,0.0086008600860086,-40951222462552.71,-2215193572382.728,20475611231276.355,1107596786191.364,61516638671308.81
417975.87758775876,0.0087008700870087,-40949822391211.055,-2240926118567.3896,20474911195605.527,1120463059283.6948,61516638671308.81
422780.198019802,0.0088008800880088,-40948406150294.28,-2266657779892.946,20474203075147.14,1133328889946.473,61516638671308.81
427584.51845184516,0.0089008900890089,-40946973740361.62,-2292388546198.9116,20473486870180.81,1146194273099.4558,61516638671308.83
432388.8388838884,0.009000900090009001,-40945525161978.664,-2318118407325.158,20472762580989.332,1159059203662.579,61516638671308.81
437193.15931593155,0.0091009100910091,-40944060415717.414,-2343847353111.91,20472030207858.707,1171923676555.955,61516638671308.8
441997.4797479748,0.0092009200920092,-40942579502156.25,-2369575373399.756,20471289751078.125,1184787686699.878,61516638671308.8
446801.800180018,0.0093009300930093,-40941082421879.92,-2395302458029.649,20470541210939.96,1197651229014.8245,61516638671308.83
