# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e+00
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
9.120e+03,5.753e-12,1.000e+00,2.410e-08,5.753e-12,1.000e+00,2.410e-08,4.687e-10
1.012e+04,6.720e-12,1.000e+00,2.815e-08,6.720e-12,1.000e+00,2.815e-08,5.475e-10
1.122e+04,7.850e-12,1.000e+00,3.288e-08,7.850e-12,1.000e+00,3.288e-08,6.395e-10
1.245e+04,9.170e-12,1.000e+00,3.841e-08,9.170e-12,1.000e+00,3.841e-08,7.471e-10
1.380e+04,1.071e-11,1.000e+00,4.487e-08,1.071e-11,1.000e+00,4.487e-08,8.727e-10
1.531e+04,1.251e-11,1.000e+00,5.242e-08,1.251e-11,1.000e+00,5.242e-08,1.019e-09
1.698e+04,1.462e-11,1.000e+00,6.123e-08,1.462e-11,1.000e+00,6.123e-08,1.191e-09
1.884e+04,1.708e-11,1.000e+00,7.153e-08,1.708e-11,1.000e+00,7.153e-08,1.391e-09
2.089e+04,1.995e-11,1.000e+00,8.356e-08,1.995e-11,1.000e+00,8.356e-08,1.625e-09
2.317e+04,2.330e-11,1.000e+00,9.761e-08,2.330e-11,1.000e+00,9.761e-08,1.898e-09
2.570e+04,2.722e-11,1.000e+00,1.140e-07,2.722e-11,1.000e+00,1.140e-07,2.217e-09
2.851e+04,3.180e-11,1.000e+00,1.332e-07,3.180e-11,1.000e+00,1.332e-07,2.590e-09
3.162e+04,3.714e-11,1.000e+00,1.556e-07,3.714e-11,1.000e+00,1.556e-07,3.026e-09
3.508e+04,4.339e-11,1.000e+00,1.818e-07,4.339e-11,1.000e+00,1.818e-07,3.535e-09
3.890e+04,5.068e-11,1.000e+00,2.123e-07,5.068e-11,1.000e+00,2.123e-07,4.129e-09
4.315e+04,5.921e-11,1.000e+00,2.480e-07,5.921e-11,1.000e+00,2.480e-07,4.823e-09
4.786e+04,6.916e-11,1.000e+00,2.897e-07,6.916e-11,1.000e+00,2.897e-07,5.634e-09
5.309e+04,8.079e-11,1.000e+00,3.384e-07,8.079e-11,1.000e+00,3.384e-07,6.582e-09
5.888e+04,9.438e-11,1.000e+00,3.954e-07,9.438e-11,1.000e+00,3.954e-07,7.689e-09
6.531e+04,1.102e-10,1.000e+00,4.618e-07,1.102e-10,1.000e+00,4.618e-07,8.982e-09
7.244e+04,1.288e-10,1.000e+00,5.395e-07,1.288e-10,1.000e+00,5.395e-07,1.049e-08
8.035e+04,1.504e-10,1.000e+00,6.302e-07,1.504e-10,1.000e+00,6.302e-07,1.226e-08
8.913e+04,1.757e-10,1.000e+00,7.362e-07,1.757e-10,1.000e+00,7.362e-07,1.432e-08
9.886e+04,2.053e-10,1.000e+00,8.600e-07,2.053e-10,1.000e+00,8.600e-07,1.672e-08
1.096e+05,2.398e-10,1.000e+00,1.005e-06,2.398e-10,1.000e+00,1.005e-06,1.954e-08
1.216e+05,2.801e-10,1.000e+00,1.173e-06,2.801e-10,1.000e+00,1.173e-06,2.282e-08
1.349e+05,3.272e-10,1.000e+00,1.371e-06,3.272e-10,1.000e+00,1.371e-06,2.666e-08
1.496e+05,3.823e-10,1.000e+00,1.601e-06,3.823e-10,1.000e+00,1.601e-06,3.114e-08
1.660e+05,4.465e-10,1.000e+00,1.871e-06,4.465e-10,1.000e+00,1.871e-06,3.638e-08
1.841e+05,5.216e-10,1.000e+00,2.185e-06,5.216e-10,1.000e+00,2.185e-06,4.250e-08
2.042e+05,6.094e-10,1.000e+00,2.553e-06,6.094e-10,1.000e+00,2.553e-06,4.964e-08
2.265e+05,7.118e-10,1.000e+00,2.982e-06,7.118e-10,1.000e+00,2.982e-06,5.799e-08
2.512e+05,8.315e-10,1.000e+00,3.483e-06,8.315e-10,1.000e+00,3.483e-06,6.774e-08
2.786e+05,9.713e-10,1.000e+00,4.069e-06,9.713e-10,1.000e+00,4.069e-06,7.913e-08
3.090e+05,1.135e-09,1.000e+00,4.753e-06,1.135e-09,1.000e+00,4.753e-06,9.244e-08
3.428e+05,1.325e-09,1.000e+00,5.552e-06,1.325e-09,1.000e+00,5.552e-06,1.080e-07
3.802e+05,1.548e-09,1.000e+00,6.486e-06,1.548e-09,1.000e+00,6.486e-06,1.261e-07
4.217e+05,1.809e-09,1.000e+00,7.577e-06,1.809e-09,1.000e+00,7.577e-06,1.474e-07
4.677e+05,2.113e-09,1.000e+00,8.851e-06,2.113e-09,1.000e+00,8.851e-06,1.721e-07
5.188e+05,2.468e-09,1.000e+00,1.034e-05,2.468e-09,1.000e+00,1.034e-05,2.011e-07
5.754e+05,2.883e-09,1.000e+00,1.208e-05,2.883e-09,1.000e+00,1.208e-05,2.349e-07
6.383e+05,3.368e-09,1.000e+00,1.411e-05,3.368e-09,1.000e+00,1.411e-05,2.744e-07
7.079e+05,3.934e-09,1.000e+00,1.648e-05,3.934e-09,1.000e+00,1.648e-05,3.205e-07
7.852e+05,4.596e-09,1.000e+00,1.925e-05,4.596e-09,1.000e+00,1.925e-05,3.744e-07
8.710e+05,5.369e-09,1.000e+00,2.249e-05,5.369e-09,1.000e+00,2.249e-05,4.374e-07
9.661e+05,6.271e-09,1.000e+00,2.627e-05,6.271e-09,1.000e+00,2.627e-05,5.109e-07
1.072e+06,7.326e-09,1.000e+00,3.069e-05,7.326e-09,1.000e+00,3.069e-05,5.968e-07
1.189e+06,8.558e-09,1.000e+00,3.585e-05,8.558e-09,1.000e+00,3.585e-05,6.972e-07
1.318e+06,9.997e-09,1.000e+00,4.188e-05,9.997e-09,1.000e+00,4.188e-05,8.144e-07
1.462e+06,1.168e-08,1.000e+00,4.892e-05,1.168e-08,1.000e+00,4.892e-05,9.514e-07
1.622e+06,1.364e-08,1.000e+00,5.715e-05,1.364e-08,1.000e+00,5.715e-05,1.111e-06
1.799e+06,1.594e-08,1.000e+00,6.675e-05,1.594e-08,1.000e+00,6.675e-05,1.298e-06
1.995e+06,1.862e-08,1.000e+00,7.798e-05,1.862e-08,1.000e+00,7.798e-05,1.517e-06
2.213e+06,2.175e-08,1.000e+00,9.109e-05,2.175e-08,1.000e+00,9.109e-05,1.772e-06
2.455e+06,2.540e-08,1.000e+00,1.064e-04,2.540e-08,1.000e+00,1.064e-04,2.069e-06
2.723e+06,2.967e-08,1.000e+00,1.243e-04,2.967e-08,1.000e+00,1.243e-04,2.417e-06
3.020e+06,3.466e-08,1.000e+00,1.452e-04,3.466e-08,1.000e+00,1.452e-04,2.824e-06
3.350e+06,4.049e-08,1.000e+00,1.696e-04,4.049e-08,1.000e+00,1.696e-04,3.299e-06
3.715e+06,4.730e-08,1.000e+00,1.981e-04,4.730e-08,1.000e+00,1.981e-04,3.853e-06
4.121e+06,5.525e-08,1.000e+00,2.315e-04,5.525e-08,1.000e+00,2.315e-04,4.501e-06
4.571e+06,6.455e-08,1.000e+00,2.704e-04,6.455e-08,1.000e+00,2.704e-04,5.258e-06
5.070e+06,7.540e-08,1.000e+00,3.159e-04,7.540e-08,1.000e+00,3.159e-04,6.143e-06
5.623e+06,8.808e-08,1.000e+00,3.690e-04,8.808e-08,1.000e+00,3.690e-04,7.175e-06
