# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
5.433e+03,2.645e-14,1.000e+00,1.108e-10,2.645e-14,1.000e+00,1.108e-10,2.155e-12
6.026e+03,3.089e-14,1.000e+00,1.294e-10,3.089e-14,1.000e+00,1.294e-10,2.517e-12
6.683e+03,3.609e-14,1.000e+00,1.512e-10,3.609e-14,1.000e+00,1.512e-10,2.940e-12
7.413e+03,4.216e-14,1.000e+00,1.766e-10,4.216e-14,1.000e+00,1.766e-10,3.434e-12
8.222e+03,4.925e-14,1.000e+00,2.063e-10,4.925e-14,1.000e+00,2.063e-10,4.012e-12
9.120e+03,5.753e-14,1.000e+00,2.410e-10,5.753e-14,1.000e+00,2.410e-10,4.687e-12
1.012e+04,6.720e-14,1.000e+00,2.815e-10,6.720e-14,1.000e+00,2.815e-10,5.475e-12
1.122e+04,7.850e-14,1.000e+00,3.288e-10,7.850e-14,1.000e+00,3.288e-10,6.395e-12
1.245e+04,9.170e-14,1.000e+00,3.841e-10,9.170e-14,1.000e+00,3.841e-10,7.471e-12
1.380e+04,1.071e-13,1.000e+00,4.487e-10,1.071e-13,1.000e+00,4.487e-10,8.727e-12
1.531e+04,1.251e-13,1.000e+00,5.242e-10,1.251e-13,1.000e+00,5.242e-10,1.019e-11
1.698e+04,1.462e-13,1.000e+00,6.123e-10,1.462e-13,1.000e+00,6.123e-10,1.191e-11
1.884e+04,1.708e-13,1.000e+00,7.153e-10,1.708e-13,1.000e+00,7.153e-10,1.391e-11
2.089e+04,1.995e-13,1.000e+00,8.356e-10,1.995e-13,1.000e+00,8.356e-10,1.625e-11
2.317e+04,2.330e-13,1.000e+00,9.761e-10,2.330e-13,1.000e+00,9.761e-10,1.898e-11
2.570e+04,2.722e-13,1.000e+00,1.140e-09,2.722e-13,1.000e+00,1.140e-09,2.217e-11
2.851e+04,3.180e-13,1.000e+00,1.332e-09,3.180e-13,1.000e+00,1.332e-09,2.590e-11
3.162e+04,3.714e-13,1.000e+00,1.556e-09,3.714e-13,1.000e+00,1.556e-09,3.026e-11
3.508e+04,4.339e-13,1.000e+00,1.818e-09,4.339e-13,1.000e+00,1.818e-09,3.535e-11
3.890e+04,5.068e-13,1.000e+00,2.123e-09,5.068e-13,1.000e+00,2.123e-09,4.129e-11
4.315e+04,5.921e-13,1.000e+00,2.480e-09,5.921e-13,1.000e+00,2.480e-09,4.823e-11
4.786e+04,6.916e-13,1.000e+00,2.897e-09,6.916e-13,1.000e+00,2.897e-09,5.634e-11
5.309e+04,8.079e-13,1.000e+00,3.384e-09,8.079e-13,1.000e+00,3.384e-09,6.582e-11
5.888e+04,9.438e-13,1.000e+00,3.954e-09,9.438e-13,1.000e+00,3.954e-09,7.689e-11
6.531e+04,1.102e-12,1.000e+00,4.618e-09,1.102e-12,1.000e+00,4.618e-09,8.982e-11
7.244e+04,1.288e-12,1.000e+00,5.395e-09,1.288e-12,1.000e+00,5.395e-09,1.049e-10
8.035e+04,1.504e-12,1.000e+00,6.302e-09,1.504e-12,1.000e+00,6.302e-09,1.226e-10
8.913e+04,1.757e-12,1.000e+00,7.362e-09,1.757e-12,1.000e+00,7.362e-09,1.432e-10
9.886e+04,2.053e-12,1.000e+00,8.600e-09,2.053e-12,1.000e+00,8.600e-09,1.672e-10
1.096e+05,2.398e-12,1.000e+00,1.005e-08,2.398e-12,1.000e+00,1.005e-08,1.954e-10
1.216e+05,2.801e-12,1.000e+00,1.173e-08,2.801e-12,1.000e+00,1.173e-08,2.282e-10
1.349e+05,3.272e-12,1.000e+00,1.371e-08,3.272e-12,1.000e+00,1.371e-08,2.666e-10
1.496e+05,3.823e-12,1.000e+00,1.601e-08,3.823e-12,1.000e+00,1.601e-08,3.114e-10
